,order,method,metric,value,dataName
0,3,between,vi,0.46023443674112796,YeastB
1,3,between,nmi,0.8569975256376399,YeastB
2,3,between,split-join,11.0,YeastB
3,3,between,rand,0.8798798798798797,YeastB
4,3,between,adjusted_rand,0.6570898980537531,YeastB
5,4,between,vi,0.9232760257024171,YeastB
6,4,between,nmi,0.7547046658531575,YeastB
7,4,between,split-join,17.0,YeastB
8,4,between,rand,0.8633633633633633,YeastB
9,4,between,adjusted_rand,0.4690484116832827,YeastB
10,5,between,vi,1.0036528867225973,YeastB
11,5,between,nmi,0.7495776560030836,YeastB
12,5,between,split-join,16.0,YeastB
13,5,between,rand,0.8708708708708708,YeastB
14,5,between,adjusted_rand,0.45468047833041336,YeastB
15,6,between,vi,1.0036528867225973,YeastB
16,6,between,nmi,0.7495776560030836,YeastB
17,6,between,split-join,16.0,YeastB
18,6,between,rand,0.8708708708708708,YeastB
19,6,between,adjusted_rand,0.45468047833041336,YeastB
20,7,between,vi,1.0036528867225973,YeastB
21,7,between,nmi,0.7495776560030836,YeastB
22,7,between,split-join,16.0,YeastB
23,7,between,rand,0.8708708708708708,YeastB
24,7,between,adjusted_rand,0.45468047833041336,YeastB
25,3,fastgreedy,vi,0.6232390434638293,YeastB
26,3,fastgreedy,nmi,0.7933977891545125,YeastB
27,3,fastgreedy,split-join,12.0,YeastB
28,3,fastgreedy,rand,0.8483483483483483,YeastB
29,3,fastgreedy,adjusted_rand,0.5934950505819644,YeastB
30,4,fastgreedy,vi,1.1495713330417856,YeastB
31,4,fastgreedy,nmi,0.6772845966631948,YeastB
32,4,fastgreedy,split-join,23.0,YeastB
33,4,fastgreedy,rand,0.8078078078078077,YeastB
34,4,fastgreedy,adjusted_rand,0.3468286927072951,YeastB
35,5,fastgreedy,vi,1.2840827430046278,YeastB
36,5,fastgreedy,nmi,0.6626239537416401,YeastB
37,5,fastgreedy,split-join,23.0,YeastB
38,5,fastgreedy,rand,0.8093093093093093,YeastB
39,5,fastgreedy,adjusted_rand,0.31114296418158427,YeastB
40,6,fastgreedy,vi,1.2840827430046278,YeastB
41,6,fastgreedy,nmi,0.6626239537416401,YeastB
42,6,fastgreedy,split-join,23.0,YeastB
43,6,fastgreedy,rand,0.8093093093093093,YeastB
44,6,fastgreedy,adjusted_rand,0.31114296418158427,YeastB
45,7,fastgreedy,vi,1.2840827430046278,YeastB
46,7,fastgreedy,nmi,0.6626239537416401,YeastB
47,7,fastgreedy,split-join,23.0,YeastB
48,7,fastgreedy,rand,0.8093093093093093,YeastB
49,7,fastgreedy,adjusted_rand,0.31114296418158427,YeastB
50,3,infomap,vi,0.14255677945758682,YeastB
51,3,infomap,nmi,0.9508541711128787,YeastB
52,3,infomap,split-join,3.0,YeastB
53,3,infomap,rand,0.987987987987988,YeastB
54,3,infomap,adjusted_rand,0.9699675324675326,YeastB
55,4,infomap,vi,0.6881261872235909,YeastB
56,4,infomap,nmi,0.8003266011787719,YeastB
57,4,infomap,split-join,15.0,YeastB
58,4,infomap,rand,0.8453453453453452,YeastB
59,4,infomap,adjusted_rand,0.5422466601716288,YeastB
60,5,infomap,vi,0.9320306299440677,YeastB
61,5,infomap,nmi,0.7474283399718366,YeastB
62,5,infomap,split-join,16.0,YeastB
63,5,infomap,rand,0.8138138138138136,YeastB
64,5,infomap,adjusted_rand,0.42557453675365786,YeastB
65,6,infomap,vi,0.9320306299440677,YeastB
66,6,infomap,nmi,0.7474283399718366,YeastB
67,6,infomap,split-join,16.0,YeastB
68,6,infomap,rand,0.8138138138138136,YeastB
69,6,infomap,adjusted_rand,0.42557453675365786,YeastB
70,7,infomap,vi,0.9320306299440677,YeastB
71,7,infomap,nmi,0.7474283399718366,YeastB
72,7,infomap,split-join,16.0,YeastB
73,7,infomap,rand,0.8138138138138136,YeastB
