,order,method,metric,value,dataName
0,3,between,vi,0.46023443674112796,YeastB
1,3,between,nmi,0.8569975256376399,YeastB
2,3,between,split-join,11.0,YeastB
3,3,between,rand,0.8798798798798797,YeastB
4,3,between,adjusted_rand,0.6570898980537531,YeastB
5,4,between,vi,1.770283213443505,YeastB
6,4,between,nmi,0.3527381615953021,YeastB
7,4,between,split-join,30.0,YeastB
8,4,between,rand,0.5705705705705706,YeastB
9,4,between,adjusted_rand,0.06622088006902499,YeastB
10,5,between,vi,1.8695922194399777,YeastB
11,5,between,nmi,0.1459754332238926,YeastB
12,5,between,split-join,29.0,YeastB
13,5,between,rand,0.2912912912912912,YeastB
14,5,between,adjusted_rand,-0.025926216025691305,YeastB
15,6,between,vi,1.8695922194399777,YeastB
16,6,between,nmi,0.1459754332238926,YeastB
17,6,between,split-join,29.0,YeastB
18,6,between,rand,0.2912912912912912,YeastB
19,6,between,adjusted_rand,-0.025926216025691305,YeastB
20,7,between,vi,1.8285972391278869,YeastB
21,7,between,nmi,0.11543275744682158,YeastB
22,7,between,split-join,29.0,YeastB
23,7,between,rand,0.2627627627627627,YeastB
24,7,between,adjusted_rand,-0.01956786081751008,YeastB
25,3,fastgreedy,vi,0.6232390434638293,YeastB
26,3,fastgreedy,nmi,0.7933977891545125,YeastB
27,3,fastgreedy,split-join,12.0,YeastB
28,3,fastgreedy,rand,0.8483483483483483,YeastB
29,3,fastgreedy,adjusted_rand,0.5934950505819644,YeastB
30,4,fastgreedy,vi,1.7104971204983404,YeastB
31,4,fastgreedy,nmi,0.3247897655273778,YeastB
32,4,fastgreedy,split-join,31.0,YeastB
33,4,fastgreedy,rand,0.5600600600600601,YeastB
34,4,fastgreedy,adjusted_rand,0.0558904639798735,YeastB
35,5,fastgreedy,vi,1.691618653942387,YeastB
36,5,fastgreedy,nmi,0.14882904325461696,YeastB
37,5,fastgreedy,split-join,26.0,YeastB
38,5,fastgreedy,rand,0.32582582582582587,YeastB
39,5,fastgreedy,adjusted_rand,-0.018723299879402244,YeastB
40,6,fastgreedy,vi,1.691618653942387,YeastB
41,6,fastgreedy,nmi,0.14882904325461696,YeastB
42,6,fastgreedy,split-join,26.0,YeastB
43,6,fastgreedy,rand,0.32582582582582587,YeastB
44,6,fastgreedy,adjusted_rand,-0.018723299879402244,YeastB
45,7,fastgreedy,vi,1.6378307847728377,YeastB
46,7,fastgreedy,nmi,0.12202738399978669,YeastB
47,7,fastgreedy,split-join,26.0,YeastB
48,7,fastgreedy,rand,0.30330330330330324,YeastB
49,7,fastgreedy,adjusted_rand,-0.010932930300115901,YeastB
50,3,infomap,vi,0.14255677945758682,YeastB
51,3,infomap,nmi,0.9508541711128787,YeastB
52,3,infomap,split-join,3.0,YeastB
53,3,infomap,rand,0.987987987987988,YeastB
54,3,infomap,adjusted_rand,0.9699675324675326,YeastB
55,4,infomap,vi,1.5351333749646787,YeastB
56,4,infomap,nmi,0.3649536599899762,YeastB
57,4,infomap,split-join,28.0,YeastB
58,4,infomap,rand,0.5525525525525525,YeastB
59,4,infomap,adjusted_rand,0.05440997103216953,YeastB
60,5,infomap,vi,1.6627260644078843,YeastB
61,5,infomap,nmi,0.11154361598897986,YeastB
62,5,infomap,split-join,23.0,YeastB
63,5,infomap,rand,0.3303303303303304,YeastB
64,5,infomap,adjusted_rand,-0.06721565922221255,YeastB
65,6,infomap,vi,1.6627260644078843,YeastB
66,6,infomap,nmi,0.11154361598897986,YeastB
67,6,infomap,split-join,23.0,YeastB
68,6,infomap,rand,0.3303303303303304,YeastB
69,6,infomap,adjusted_rand,-0.06721565922221255,YeastB
70,7,infomap,vi,1.5860668077786024,YeastB
71,7,infomap,nmi,0.09344028334037056,YeastB
72,7,infomap,split-join,22.0,YeastB
73,7,infomap,rand,0.32282282282282276,YeastB
